ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
101.81.133.jja,2017-06-29,00:00:00,0.0,1515671.0,0000940400-17-000412,-index.htm,200.0,6832.0,1.0,0.0,0.0,9.0,0.0,
101.81.133.jja,2017-06-29,00:00:00,0.0,1105685.0,0001209191-17-042148,-index.htm,200.0,9902.0,1.0,0.0,0.0,9.0,0.0,
101.81.77.ach,2017-06-29,00:00:00,0.0,104894.0,0001193125-10-215678,-index.htm,200.0,7857.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-06-007070,-index.htm,200.0,2944.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-254842,-index.htm,200.0,2845.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-06-002693,-index.htm,200.0,2665.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-06-002937,-index.htm,200.0,2665.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-214209,-index.htm,200.0,2840.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-06-003388,-index.htm,200.0,2666.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-07-000003,-index.htm,200.0,2940.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-07-001256,-index.htm,200.0,2658.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1390505.0,0001144204-07-008989,-index.htm,200.0,2779.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-06-004082,-index.htm,200.0,2668.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-07-000444,-index.htm,200.0,2670.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-07-000083,-index.htm,200.0,2855.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1390505.0,0001144204-07-009290,-index.htm,200.0,2713.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-257015,-index.htm,200.0,2875.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1390505.0,0001144204-07-009292,-index.htm,200.0,2709.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-233704,-index.htm,200.0,2830.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-193820,-index.htm,200.0,2842.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1390505.0,0001144204-07-009294,-index.htm,200.0,2667.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-07-000508,-index.htm,200.0,2688.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-06-006925,-index.htm,200.0,2853.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1353349.0,0001056404-06-003731,-index.htm,200.0,2668.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1394678.0,0001019965-08-000094,-index.htm,200.0,3399.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-07-000659,-index.htm,200.0,2857.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1305479.0,0000905148-07-000494,-index.htm,200.0,2851.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-29,00:00:00,0.0,1336279.0,0001193125-07-178698,-index.htm,200.0,2841.0,1.0,0.0,0.0,10.0,0.0,
108.54.237.aji,2017-06-29,00:00:00,0.0,894847.0,0001176256-13-000360,.txt,200.0,2533253.0,0.0,0.0,0.0,10.0,0.0,
114.247.115.gch,2017-06-29,00:00:00,0.0,1041668.0,0001144204-14-024147,-index.htm,200.0,73994.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-29,00:00:00,0.0,702513.0,0001437749-17-004547,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0001047469-17-004295,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0001047469-17-004295,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006175,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1465740.0,0001104659-17-042136,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006170,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006182,-index.htm,403.0,0.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,886982.0,0001193125-17-216848,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
117.91.1.gjj,2017-06-29,00:00:00,0.0,1053092.0,0000950103-17-006182,-index.htm,429.0,5434.0,1.0,0.0,0.0,10.0,0.0,
